State,District
Andaman and Nicobar Islands,North And Middle Andaman
Andaman and Nicobar Islands,South Andamans
Andhra Pradesh,Alluri Sitharama Raju
Andhra Pradesh,Anakapalli
Andhra Pradesh,Ananthapuramu
Andhra Pradesh,Annamayya
Andhra Pradesh,Bapatla
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema
Andhra Pradesh,Eluru
Andhra Pradesh,Kakinada
Andhra Pradesh,Nandyal
Andhra Pradesh,Ntr
Andhra Pradesh,Palnadu
Andhra Pradesh,Parvathipuram Manyam
Andhra Pradesh,Sri Sathya Sai
Andhra Pradesh,Tirupati
Arunachal Pradesh,Leparada
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Namsai
Arunachal Pradesh,Siang
Assam,Bajali
Assam,Biswanath
Assam,Charaideo
Assam,Hojai
Assam,Kamrup Metro
Assam,Majuli
Assam,Marigaon
Assam,South Salmara Mancachar
Assam,Tamulpur
Assam,West Karbi Anglong
Bihar,Purbi Champaran
Chhattisgarh,Balod
Chhattisgarh,Balodabazar-Bhatapara
Chhattisgarh,Balrampur Ramanujganj
Chhattisgarh,Bemetara
Chhattisgarh,Gariyaband
Chhattisgarh,Gaurela Pendra Marwahi
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Khairagarh Chhuikhadan Gandai
Chhattisgarh,Kondagaon
Chhattisgarh,Korea
Chhattisgarh,Manendragarh Chirmiri Bharatpur Mcb
Chhattisgarh,Mohla Manpur Ambagarh Chouki
Chhattisgarh,Mungeli
Chhattisgarh,Sakti
Chhattisgarh,Sukma
Chhattisgarh,Surajpur
Gujarat,Arvalli
Gujarat,Botad
Gujarat,Chhotaudepur
Gujarat,Dang
Gujarat,Devbhumi Dwarka
Gujarat,Gir Somnath
Gujarat,Mahisagar
Gujarat,Morbi
Haryana,Charki Dadri
Haryana,Gurugram
Haryana,Nuh
Himachal Pradesh,Lahul And Spiti
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Budgam
Jammu and Kashmir,Poonch
Jammu and Kashmir,Shopian
Jharkhand,East Singhbum
Jharkhand,Koderma
Jharkhand,Sahebganj
Jharkhand,Saraikela Kharsawan
Jharkhand,West Singhbhum
Karnataka,Bagalkote
Karnataka,Ballari
Karnataka,Belagavi
Karnataka,Bengaluru Rural
Karnataka,Bengaluru Urban
Karnataka,Chamarajanagara
Karnataka,Chikkamagaluru
Karnataka,Davangere
Karnataka,Kalaburagi
Karnataka,Mysuru
Karnataka,Shivamogga
Karnataka,Tumakuru
Karnataka,Vijayapura
Ladakh,Kargil
Ladakh,Leh Ladakh
Lakshadweep,Lakshadweep District
Madhya Pradesh,Agar-Malwa
Madhya Pradesh,Maihar
Madhya Pradesh,Mauganj
Madhya Pradesh,Narmadapuram
Madhya Pradesh,Niwari
Madhya Pradesh,Pandhurna
Maharashtra,Ahmednagar
Maharashtra,Beed
Maharashtra,Buldhana
Maharashtra,Chhatrapati Sambhajinagar
Maharashtra,Dharashiv
Maharashtra,Gondia
Maharashtra,Palghar
Maharashtra,Raigad
Maharashtra,Unknown Districts Of India
Manipur,Jiribam
Manipur,Kakching
Manipur,Kamjong
Manipur,Kangpokpi
Manipur,Noney
Manipur,Tengnoupal
Meghalaya,East Jaintia Hills
Meghalaya,Eastern West Khasi Hills
Meghalaya,North Garo Hills
Meghalaya,Ri Bhoi
Meghalaya,South West Garo Hills
Meghalaya,South West Khasi Hills
Meghalaya,West Jaintia Hills
Mizoram,Hnahthial
Mizoram,Khawzawl
Mizoram,Saitual
Mizoram,Siaha
Nagaland,Chumoukedima
Odisha,Boudh
Odisha,Deogarh
Odisha,Nabarangpur
Odisha,Sonepur
Puducherry,Pondicherry
Punjab,Fazilka
Punjab,Ferozepur
Punjab,Malerkotla
Punjab,Pathankot
Punjab,S.A.S Nagar
Punjab,Sri Muktsar Sahib
Rajasthan,Anoopgarh
Rajasthan,Balotra
Rajasthan,Beawar
Rajasthan,Chittorgarh
Rajasthan,Deeg
Rajasthan,Dholpur
Rajasthan,Didwana Kuchaman
Rajasthan,Dudu
Rajasthan,Gangapurcity
Rajasthan,Jalore
Rajasthan,Jhunjhunu
Rajasthan,Kekri
Rajasthan,Khairthal-Tijara
Rajasthan,Kotputli-Behror
Rajasthan,Neem Ka Thana
Rajasthan,Phalodi
Rajasthan,Sanchor
Rajasthan,Shahpura
Rajasthan,Unknown Districts Of India
Sikkim,Gangtok
Sikkim,Gyalshing
Sikkim,Mangan
Sikkim,Namchi
Sikkim,Pakyong
Sikkim,Soreng
Tamil Nadu,Chengalpattu
Tamil Nadu,Kallakurichi
Tamil Nadu,Kanchipuram
Tamil Nadu,Mayiladuthurai
Tamil Nadu,Ranipet
Tamil Nadu,Tenkasi
Tamil Nadu,Tirupathur
